time,gFx,gFy,gFz,TgF
3.087900421,0.0359,-0.0188,1.0344,1.035
3.097645228,0.0380,-0.0059,1.0349,1.036
3.111191651,0.0241,-0.0147,1.0124,1.013
3.118048613,0.0335,-0.0001,1.0251,1.026
3.134685613,0.0387,0.0101,1.0307,1.032
3.13787769,0.0393,0.0018,1.0207,1.021
3.147814036,0.0321,-0.0078,1.0192,1.020
3.157857036,0.0349,-0.0071,1.0251,1.026
3.167784767,0.0272,-0.0228,1.0185,1.019
3.17771419,0.0255,-0.0225,1.0210,1.022
3.188734074,0.0321,-0.0110,1.0224,1.023
3.198049074,0.0348,-0.0112,1.0243,1.025
3.220317459,0.0392,-0.0026,1.0322,1.033
3.223499844,0.0428,0.0092,1.0311,1.032
3.228255805,0.0403,0.0071,1.0271,1.028
3.238207267,0.0368,-0.0072,1.0287,1.029
3.257660267,0.0366,-0.0056,1.0307,1.031
3.259344228,0.0332,-0.0164,1.0261,1.027
3.267864843,0.0316,-0.0228,1.0268,1.028
3.27800619,0.0347,-0.0101,1.0249,1.026
3.288054767,0.0398,-0.0112,1.0348,1.036
3.297631882,0.0393,-0.0027,1.0426,1.043
3.311512767,0.0442,0.0125,1.0422,1.043
3.31773119,0.0437,0.0088,1.0301,1.031
3.327674228,0.0434,0.0007,1.0418,1.043
3.337804805,0.0440,-0.0018,1.0395,1.040
3.347660959,0.0340,-0.0123,1.0294,1.030
3.357964074,0.0237,-0.0232,1.0236,1.024
3.367993382,0.0343,-0.0145,1.0239,1.025
3.377874151,0.0305,-0.0118,1.0287,1.029
3.387995997,0.0235,-0.0112,1.0239,1.024
3.398053343,0.0310,0.0027,1.0124,1.013
3.41942719,0.0424,0.0094,1.0359,1.037
3.42144069,0.0390,-0.0035,1.0244,1.025
3.459118959,0.0391,-0.0035,1.0246,1.025
3.460344036,0.0366,-0.0104,1.0387,1.039
3.461174536,0.0326,-0.0241,1.0316,1.032
3.462030074,0.0247,-0.0170,1.0148,1.015
3.46794842,0.0270,-0.0128,1.0221,1.022
3.477955728,0.0282,-0.0089,1.0278,1.028
3.488013613,0.0292,0.0035,1.0212,1.022
3.497887036,0.0388,0.0066,1.0241,1.025
3.513773536,0.0388,0.0066,1.0241,1.025
3.517957497,0.0318,-0.0032,1.0145,1.015
3.538225036,0.0349,-0.0078,1.0151,1.016
3.53983692,0.0304,-0.0129,1.0168,1.017
3.547802343,0.0359,-0.0178,1.0473,1.048
3.557783343,0.0458,-0.0101,1.0532,1.054
